"committee","lgno","name","term","sessionPeriod","isCoChairman","姓名+出生日期","立法院","組織名稱","職位名稱","起始","結束","地址","組織名稱+地址"
"交通委員會",115,"張秀珍","04","1","N","張秀珍+1951","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",127,"陳其邁","04","1","N","陳其邁+1964","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",129,"陳明文","04","1","N","陳明文+1954","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",133,"陳根德","04","1","N","陳根德+1956","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",141,"陳進丁","04","1","N","陳進丁+1946","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",168,"楊秋興","04","1","N","楊秋興+1956","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",206,"盧逸峰","04","1","N","盧逸峰+1962","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",21,"沈富雄","04","1","N","沈富雄+1939","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",26,"李全教","04","1","N","李全教+1960","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",34,"李應元","04","1","Y","李應元+1953","立法院","立法院社會福利及衛生環境委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",55,"林重謨","04","1","N","林重謨+1947","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",66,"周五六","04","1","N","周五六+1950","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",69,"周清玉","04","1","N","周清玉+1944","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",93,"徐中雄","04","1","Y","徐中雄+1957","立法院","立法院社會福利及衛生環境委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",121,"張蔡美","04","1","N","張蔡美+1938","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",125,"陳宏昌","04","1","N","陳宏昌+1956","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",144,"陳鴻基","04","1","N","陳鴻基+1949","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",158,"黃明和","04","1","Y","黃明和+1940","立法院","立法院社會福利及衛生環境委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",178,"趙永清","04","1","N","趙永清+1957","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",184,"鄭龍水","04","1","N","鄭龍水+1959","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",191,"蔡鈴蘭","04","1","N","蔡鈴蘭+1942","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",203,"賴勁麟","04","1","N","賴勁麟+1962","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"社會福利及衛生環境委員會",218,"蕭金蘭","04","1","N","蕭金蘭+1948","立法院","立法院社會福利及衛生環境委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院社會福利及衛生環境委員會+台北市中正區中山南路1號"
"程序委員會",6,"王令麟","04","1","N","王令麟+1955","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",7,"王兆釧","04","1","N","王兆釧+1946","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",35,"李顯榮","04","1","N","李顯榮+1947","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",42,"余政道","04","1","N","余政道+1963","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",46,"林志嘉","04","1","N","林志嘉+1958","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",66,"周五六","04","1","N","周五六+1950","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",69,"周清玉","04","1","N","周清玉+1944","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",70,"周雅淑","04","1","N","周雅淑+1966","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",75,"邱創良","04","1","N","邱創良+1955","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",87,"侯惠仙","04","1","N","侯惠仙+1958","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",88,"唐碧娥","04","1","N","唐碧娥+1960","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",90,"高揚昇","04","1","N","高揚昇+1952","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",91,"秦慧珠","04","1","N","秦慧珠+1955","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",106,"許鍾碧霞","04","1","N","許鍾碧霞+1948","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",111,"張川田","04","1","N","張川田+1945","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",116,"張明雄","04","1","N","張明雄+1944","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",130,"陳昭南","04","1","N","陳昭南+1942","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",131,"陳振盛","04","1","N","陳振盛+1950","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",143,"陳學聖","04","1","N","陳學聖+1957","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",152,"湯金全","04","1","N","湯金全+1946","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",154,"馮滬祥","04","1","N","馮滬祥+1948","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",163,"黃顯洲","04","1","N","黃顯洲+1959","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",169,"楊瓊瓔","04","1","N","楊瓊瓔+1964","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",176,"廖福本","04","1","N","廖福本+1938","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",181,"鄭金玲","04","1","N","鄭金玲+1946","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",188,"蔡明憲","04","1","N","蔡明憲+1941","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",207,"穆閩珠","04","1","N","穆閩珠+1949","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",208,"營志宏","04","1","N","營志宏+1949","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",211,"謝章捷","04","1","N","謝章捷+1958","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"程序委員會",219,"蕭苑瑜","04","1","N","蕭苑瑜+1973","立法院","立法院程序委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院程序委員會+台北市中正區中山南路1號"
"外交及僑務委員會",12,"王雪峯","04","1","Y","王雪峯+1964","立法院","立法院外交及僑務委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",25,"李先仁","04","1","Y","李先仁+1963","立法院","立法院外交及僑務委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",57,"林國華","04","1","N","林國華+1935","立法院","立法院外交及僑務委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",77,"施明德","04","1","N","施明德+1941","立法院","立法院外交及僑務委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",82,"洪昭男","04","1","N","洪昭男+1943","立法院","立法院外交及僑務委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",83,"洪讀","04","1","N","洪讀+1936","立法院","立法院外交及僑務委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
"外交及僑務委員會",106,"許鍾碧霞","04","1","N","許鍾碧霞+1948","立法院","立法院外交及僑務委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院外交及僑務委員會+台北市中正區中山南路1號"
