"","title","date","content"
"27","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　习近平在福建代表团参加审议。会上，雷金玉、张林顺、兰平勇、康涛、陈国鹰、潘越、丁世忠、章联生等8位代表先后围绕打好脱贫攻坚战、建设美丽乡村、发展远洋渔业、深化两岸融合发展、建设“数字中国”、扩大对外开放、推动创新发展、促进老区苏区发展等问题发表意见。有的代表谈到以创新变革打造民族品牌，习近平说，你2001年就做这件事，现在仍然在做，而且越做越大。做企业、做事业不是仅仅赚几个钱的问题。实实在在、心无旁骛做实业，这是本分。习近平在最后的重要讲话中肯定福建的工作，希望福建的同志坚持以新时代中国特色社会主义思想为指导，坚持稳中求进工作总基调，坚持新发展理念，统筹做好稳增长、促改革、调结构、惠民生、防风险、保稳定工作，努力在营造良好发展环境上再创佳绩，在推动两岸融合发展上作出示范，为全面建成小康社会圆满收官打下坚实基础。习近平强调，要营造有利于创新创业创造的良好发展环境。要向改革开放要动力，最大限度释放全社会创新创业创造动能，不断增强我国在世界大变局中的影响力、竞争力。要坚持问题导向，解放思想，通过全面深化改革开放，给创新创业创造以更好的环境，着力解决影响创新创业创造的突出体制机制问题，营造鼓励创新创业创造的社会氛围，特别是要为中小企业、年轻人发展提供有利条件，为高技术企业成长建立加速机制。要坚持“两个毫不动摇”，落实鼓励引导支持民营经济发展的各项政策措施，为各类所有制企业营造公平、透明、法治的发展环境，营造有利于企业家健康成长的良好氛围，帮助民营企业实现创新发展，在市场竞争中打造一支有开拓精神、前瞻眼光、国际视野的企业家队伍。要发挥经济特区、自由贸易试验区、综合实验区、21世纪海上丝绸之路核心区等多区叠加优势，不断探索新路，吸引优质生产要素集中集聚，全面提升福建产业竞争力，力争在建设开放型经济新体制上走在前头。要探索海峡两岸融合发展新路。对台工作既要着眼大局大势，又要注重落实落细。两岸要应通尽通，提升经贸合作畅通、基础设施联通、能源资源互通、行业标准共通，努力把福建建成台胞台企登陆的第一家园。要加强两岸交流合作，加大文化交流力度，把工作做到广大台湾同胞的心里，增进台湾同胞对民族、对国家的认知和感情。要在对台工作中贯彻好以人民为中心的发展思想，对台湾同胞一视同仁，像为大陆百姓服务那样造福台湾同胞。去年以来，我们推出“31条惠台措施”，福建实行“66条实施意见”，取得显著成效，广大台湾同胞都是受益者。要把这些措施落实到位，同时要听取台湾同胞呼声，研究还可以推出哪些惠台利民的政策措施，只要能做到的都要尽力去做。要做好革命老区、中央苏区脱贫奔小康工作。今年是新中国成立70周年，要饮水思源，决不能忘了老区苏区人民。要梳理排查、抓紧工作，确保老区苏区在全面建成小康社会进程中一个都不掉队。要坚持精准扶贫、精准脱贫，找到问题根源，增强脱贫措施的实效性。各级领导干部要有不怕疲劳、连续作战的顽强作风，深入一线，深入群众，及时解决脱贫攻坚中的难点问题，确保各项目标任务如期完成。加快老区苏区发展，要有长远眼光，多做经济发展和生态保护相协调相促进的文章，打好污染防治攻坚战，突出打好蓝天、碧水、净土三大保卫战。要以党的政治建设为统领，全面落实新时代党的建设总要求，全面推进党的各方面建设，以坚强有力的党组织确保工作任务落实。"
"28","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央政治局常委、全国人大常委会委员长栗战书参加十三届全国人大二次会议江苏代表团的审议。 新华社记者 谢环驰 摄"
"29","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　栗战书在江苏代表团参加审议。在认真听取娄勤俭、吴政隆、车捷等代表发言后，栗战书说，制定外商投资法是以习近平同志为核心的党中央确定的重大立法任务，充分彰显了党和人民在新时代将改革开放进行到底的坚定决心，宣示了我国奉行互利共赢开放战略、积极推动建设开放型世界经济的鲜明立场，有利于打造市场化、法治化、国际化的一流营商环境，为推动高水平对外开放提供更加有力的法治保障。希望江苏认真贯彻习近平总书记对江苏工作的重要指示要求，抓住实施长江经济带发展战略的机遇，大力推进高质量发展，实施乡村振兴战略，推动高水平对外开放，努力建设经济强、百姓富、环境美、社会文明程度高的新江苏。"
"30","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央政治局常委、全国政协主席汪洋参加十三届全国人大二次会议西藏代表团的审议。 新华社记者 李学仁 摄"
"31","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　汪洋在西藏代表团参加审议。在听取普布顿珠、格桑卓嘎、扎西江村等代表发言后，汪洋表示，完全赞成栗战书委员长所作的全国人大常委会工作报告。汪洋充分肯定过去一年西藏各项事业发展成绩，指出西藏经济发展和社会稳定持续向好，但也要看到风险挑战。要深入学习贯彻习近平总书记关于西藏工作的重要论述，牢牢把握维护祖国统一、加强民族团结的着眼点和着力点，牢牢把握依法治藏、富民兴藏、长期建藏、凝聚人心、夯实基础的重要原则，居安思危、稳中求进，进一步巩固社会大局稳定好局面，进一步加强寺庙管理能力建设，进一步提高脱贫攻坚质量，确保雪域高原安定祥和、各族人民安居乐业。"
"32","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央政治局常委、中央书记处书记王沪宁参加十三届全国人大二次会议新疆代表团的审议。 新华社记者 刘彬 摄"
"33","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　王沪宁在新疆代表团参加审议。在听取雪克来提·扎克尔、孙金龙、阿不都热克甫·吐木尼牙孜等代表发言后，王沪宁表示，赞成全国人大常委会工作报告。新疆各项工作取得新成绩，希望新疆把学习贯彻习近平新时代中国特色社会主义思想作为首要政治任务，认真落实习近平总书记关于新疆工作重要指示精神和党中央治疆方略，引导广大党员、干部增强“四个意识”、坚定“四个自信”、做到“两个维护”。要紧紧围绕社会稳定和长治久安总目标，做好保障和改善民生工作，办好各类教育，深化民族团结进步教育，增进各族群众获得感、幸福感、安全感。要贯彻新时代党的建设总要求，全面加强党的领导和党的建设。"
"34","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央政治局常委、中央纪委书记赵乐际参加十三届全国人大二次会议海南代表团的审议。 新华社记者 燕雁 摄"
"35","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　赵乐际在海南代表团参加审议。陈飘、邓小刚、杨莹等代表先后发言。赵乐际充分肯定海南工作取得的新成绩，希望海南深入学习贯彻习近平新时代中国特色社会主义思想，学习贯彻习近平总书记关于海南工作重要指示精神，牢牢把握党中央对海南在新一轮改革开放中的战略定位，用好用足机遇，大胆探索创新，凝心聚力、抓好落实，加快建设自由贸易试验区、探索建设中国特色自由贸易港，以实际行动践行“两个维护”，以新的更大成绩不负党中央重托。赵乐际说，深化国家监察体制改革是全面深化改革的重要内容，要把党内监督同国家机关监督、民主监督、司法监督、群众监督、舆论监督贯通起来，健全党和国家监督体系，以有力有效的监督保障各项任务落实。"
"36","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　陈全国等参加审议。"
"37","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网",""
"38","汪洋参加台湾代表团审议"," 时间:2019-03-08 16:20　　　来源：新华网",""
"39","汪洋参加台湾代表团审议"," 时间:2019-03-08 16:20　　　来源：新华网","3月7日，中共中央政治局常委、全国政协主席汪洋参加十三届全国人大二次会议台湾代表团的审议。 新华社记者 高洁 摄"
"40","汪洋参加台湾代表团审议"," 时间:2019-03-08 16:20　　　来源：新华网"," "
"41","汪洋参加台湾代表团审议"," 时间:2019-03-08 16:20　　　来源：新华网",""
"42","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　3月5日上午，十三届全国人大二次会议开幕会结束后，2019年全国两会第二场“部长通道”在人民大会堂举行。部长们在这里直面热点，回应关切。新华网、中国政府网进行现场直播。"
"43","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","3月5日，第十三届全国人民代表大会第二次会议在北京人民大会堂开幕。这是国务院台湾事务办公室主任刘结一在“部长通道”接受采访。 新华社记者 殷刚 摄"
"44","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　香港中评社记者："
"45","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　刘主任，我们注意到今年的台海局势更加严峻复杂，对台工作的挑战也是增加了不少。请问主任，国台办今年如何贯彻落实习近平总书记1月2日在《告台湾同胞书》发表40周年纪念大会上的讲话精神，处理好两岸关系，推进对台工作。"
"46","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　刘结一："
"47","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　习近平总书记在1月2日纪念《告台湾同胞书》发表40周年纪念大会上的重要讲话，是新时代做好对台工作的根本遵循和行动指南。两岸关系必将沿着这篇重要讲话指引的方向，坚定地向前迈进。"
"48","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　实现祖国完全统一，是我们矢志不渝的历史使命，是不可抗拒的历史潮流。几十年来，在两岸同胞共同努力下，两岸关系取得了历史性的成就，发生了历史性的变化。在中华民族伟大复兴展现光明前景的今天，两岸交流合作越来越广泛，同胞交往越来越密切，同胞亲情越来越深厚，相互心灵越来越契合，全体中华儿女携手实现民族复兴中国梦的力量越来越强劲，两岸关系走近、走实、走顺、走好，祖国走向统一的大势越来越清晰。广大台湾同胞对“两岸关系好、台湾才会好”的认识更加深入，我们推动祖国和平统一进程、造福两岸同胞的能力越来越强大。尽管当前两岸关系形势依然严峻复杂，尽管我们前进的道路不会一帆风顺，但大道之行、民心所向，势不可当。我们始终牢牢把握两岸关系的主导权，主动权，两岸关系必将克难前行，朝着祖国统一的方向迈进。"
"49","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　我们将继续坚持“和平统一、一国两制”的方针。"
"50","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　这是实现祖国完全统一的最佳方式，体现了对广大台湾同胞的照顾、关爱和体谅。一国是历史定论，台湾是中国的一部分，两岸同属一个中国的事实从未改变，也不会改变，中国的主权和领土完整从未分割，也不容分割。两岸必须统一，也必然统一。"
"51","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　两制是为了照顾台湾的现实情况，为了保障台湾同胞的利益福祉。在和平统一以后，在确保国家主权、安全、发展利益的前提下，台湾同胞的生活方式、社会制度会得到充分的尊重，私人财产、宗教信仰、合法权益会得到充分的保障。台湾同胞的心情会更舒畅，日子会更安宁，生活会更殷实，天地会更广阔，腰杆会更直，底气会更足。制度不同，不是统一的障碍，更不是分裂的借口，我们愿与广大台湾同胞共同作出努力，在坚持“九二共识”、反对“台独”的共同基础上，与台湾各政党、各界别代表人士开展民主协商，广泛深入探讨两岸关系和民族未来，为两岸关系和平发展作出制度性安排，推动两岸走向和平统一的进程。"
"52","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　我们将坚决地反对和遏制“台独”分裂。"
"53","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　“台独”分子在岛内是极少数，他们是两岸同胞的共同敌人，这些极少数人形形色色的分裂活动，危害台海和平，危害两岸同胞的根本利益，危害台湾同胞的切身利益，必须坚决阻止。反对“台独”是两岸同胞的共同责任，是为了维护全体中国人民包括台湾同胞的共同利益。祖国统一的大势滚滚向前，任何人是阻挡不了的。"
"54","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　我们将持续深化两岸融合发展。"
"55","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　两岸同胞是一家人，是命运共同体，没有理由不融合发展、携手发展、共享发展。我们秉持“两岸一家亲”的理念，率先与台湾同胞分享大陆发展的机遇，逐步为台湾同胞在大陆学习、创业、就业、生活提供与大陆同胞同等待遇。去年，我们推出了惠及台湾同胞的31条措施，深受广大台胞欢迎，也为广大台胞带来了扎实的获得感、荣誉感和幸福感。"
"56","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　我列举几个例子，去年共有2000多家台企获得了税收方面的优惠，100多家台企获得了专项政策支持，800多位台胞考取了热门专业执照，100多名台胞获得了“五一劳动奖章”等荣誉称号，越来越多的台湾青年到祖国大陆来追梦、筑梦、圆梦。我们将继续践行以人民为中心的发展理念，为台湾同胞做实事、办好事、解难事。在民族复兴进程中，我们不会让台胞缺席、掉队，我们将团结广大台胞克服困难、排除障碍，尽早争取实现两岸应通尽通，构建两岸共同市场，让台湾同胞的发展天地更加广阔，内生动力更加充沛。"
"57","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　两岸同胞同根同种，中华文化是我们共同的传家宝。我们要与台湾同胞一道，共同传承弘扬优秀传统文化，不断深化两岸同胞之间的心灵契合。"
"58","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网","　　台湾的前途在于祖国统一，台湾同胞福祉系于民族复兴，广大台湾同胞对美好生活的向往，只能也必然在祖国统一和民族复兴进程中实现。我们愿与广大台湾同胞携手努力，共同推动两岸关系和平发展，共同推进祖国和平统一进程，共圆中华民族伟大复兴的中国梦，共创两岸同胞美好的未来。"
"59","刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进"," 时间:2019-03-06 11:29　　　来源：新华网/中国政府网",""
"60","李克强谈港澳台工作"," 时间:2019-03-05 16:35　　　来源：新华网","3月5日，第十三届全国人民代表大会第二次会议在北京人民大会堂开幕。国务院总理李克强作政府工作报告。 新华社记者庞兴雷摄"
"61","李克强谈港澳台工作"," 时间:2019-03-05 16:35　　　来源：新华网","　　新华社北京3月5日电 国务院总理李克强5日在作政府工作报告时说，我们要继续全面准确贯彻“一国两制”、“港人治港”、“澳人治澳”、高度自治的方针，严格依照宪法和基本法办事。全力支持香港、澳门特别行政区政府和行政长官依法施政。支持港澳抓住共建“一带一路”和粤港澳大湾区建设的重大机遇，更好发挥自身优势，全面深化与内地互利合作。我们坚信，香港、澳门一定能与祖国内地同发展共进步、一定能保持长期繁荣稳定。"
"62","李克强谈港澳台工作"," 时间:2019-03-05 16:35　　　来源：新华网","　　我们要坚持对台工作大政方针。全面贯彻落实习近平总书记在《告台湾同胞书》发表40周年纪念会上的重要讲话精神，坚持一个中国原则和“九二共识”，推动两岸关系和平发展、推进祖国和平统一进程。坚决反对和遏制“台独”分裂图谋和行径，坚决维护国家主权和领土完整。深化两岸融合发展，持续扩大两岸经济文化交流合作。两岸同胞同根相系、同命相连，应携手共创共享全体中国人的美好未来。"
"63","李克强谈港澳台工作"," 时间:2019-03-05 16:35　　　来源：新华网",""
"64","国台办：“一国两制”是国家统一最佳方式"," 时间:2019-02-27 17:13　　　来源：中共中央台办、国务院台办","　　在2月27日国台办例行新闻发布会上，有记者提问，大陆提出“探索‘两制’台湾方案”，引发台湾舆论对“一国两制”的关注和探讨，但岛内有些人对“一国两制”还有疑虑，请发言人再做进一步阐述。"
"65","国台办：“一国两制”是国家统一最佳方式"," 时间:2019-02-27 17:13　　　来源：中共中央台办、国务院台办","　　国台办发言人安峰山应询表示，两岸同属一个中国、中国的主权和领土完整没有分割也不可能分割，这是不容置疑的事实，具有充分的法理基础。民族复兴、国家统一是大势所趋，大义所在，祖国必须统一，也必然统一是两岸关系发展历程的历史定论，也是新时代中华民族伟大复兴的必然要求。台湾前途在于国家统一，台湾同胞福祉系于民族复兴。两岸中国人应该共同努力谋求国家统一，抚平历史创伤。"
"66","国台办：“一国两制”是国家统一最佳方式"," 时间:2019-02-27 17:13　　　来源：中共中央台办、国务院台办","　　安峰山说，“和平统一、一国两制”是我们解决台湾问题的基本方针，也是实现国家统一的最佳方式，既充分考虑台湾现实情况，又有利于统一后台湾的长治久安。“一国两制”体现我们对广大台湾同胞最大的善意和关爱，必然会给台湾同胞带来更大的发展机遇、更好的生活条件。和平统一后，台湾将永保太平，民众将安居乐业。有强大祖国做依靠，台湾同胞的民生福祉会更好，发展空间会更大，在国际上腰杆会更硬、底气会更足，更加安全、更有尊严。"
"67","国台办：“一国两制”是国家统一最佳方式"," 时间:2019-02-27 17:13　　　来源：中共中央台办、国务院台办","　　安峰山指出，制度不同，不是统一的障碍，更不是分裂的借口。“一国两制”的提出，本来就是为了照顾台湾现实情况，维护台湾同胞利益福祉。习总书记指出，“一国两制”在台湾的具体实现形式会充分考虑台湾现实情况，会充分吸收两岸各界意见和建议，会充分照顾到台湾同胞利益和感情。在确保国家主权、安全、发展利益的前提下，和平统一后，台湾同胞的社会制度和生活方式等将得到充分尊重，台湾同胞的私人财产、宗教信仰、合法权益将得到充分保障。"
"68","国台办：“一国两制”是国家统一最佳方式"," 时间:2019-02-27 17:13　　　来源：中共中央台办、国务院台办",""
"69","国台办：以“钉钉子”精神持续做好“31条措施”落实工作"," 时间:2019-02-27 17:12　　　来源：中共中央台办、国务院台办","　　在2月27日国台办例行新闻发布会上，有记者提问，促进两岸经济文化交流合作的“31条措施”发布实施明天（28日）将满一年，请问一年来 “31条”在推动扩大两岸交流合作中发挥了哪些作用？下一步如何深化落实？"
"70","国台办：以“钉钉子”精神持续做好“31条措施”落实工作"," 时间:2019-02-27 17:12　　　来源：中共中央台办、国务院台办","　　国台办发言人安峰山应询表示，颁布实施“31条惠及台湾同胞措施”，体现了我们率先同台湾同胞分享大陆发展机遇的真诚意愿，彰显了“两岸一家亲”的重要理念。“31条措施”实施一年来，给台企在大陆的投资兴业和台胞在大陆发展带来了实实在在的好处，取得了良好效果。一是提升了台湾同胞在大陆各地学习、工作、生活的便利化；二是台湾同胞享受“同等待遇”在更大范围和更多领域得到落实；三是台湾同胞有更多的参与感、获得感和融入感，进一步促进了两岸经济社会融合发展。"
"71","国台办：以“钉钉子”精神持续做好“31条措施”落实工作"," 时间:2019-02-27 17:12　　　来源：中共中央台办、国务院台办","　　安峰山指出，截至目前，大陆已有包括25个省区市在内的72个地方分别制定了具体落实举措，涵盖东部地区全部省份、中西部和东北地区大部分省份及全部计划单列市。不少地方公布了包括政策解读、办事流程和联系电话等内容的实施细则，基本上做到了“条条有案例、项项有着落”；一些地方结合本地实际先行先试，为台胞台企提供更多的与当地居民和企业同等待遇。近一年来，据不完全统计，已经有2000余家台企享受到高新技术企业等各类税收优惠，100多家台企获得工业转型升级、绿色制造、智能制造等专项资金的支持，一批优秀台企中标北京新机场、港珠澳大桥、武汉天兴洲长江大桥、杭州城市名片灯光秀等政府采购项目，800多名台胞考取了多个热门行业的资格，100多名台胞获得各地“五一劳动奖章”“三八红旗手”“五四青年奖章”等各类荣誉称号。2018年，台生报考大陆高校的人数、台青来大陆就业实习的人数以及由大陆就业创业机构所提供服务的新增台企数量，都保持两位数增长。越来越多的台胞台企特别是台生台青选择来大陆发展，实现人生理想。"
"72","国台办：以“钉钉子”精神持续做好“31条措施”落实工作"," 时间:2019-02-27 17:12　　　来源：中共中央台办、国务院台办","　　安峰山表示，今后，我们将深入贯彻习总书记“继续率先同台湾同胞分享大陆发展机遇，为台湾同胞台湾企业提供同等待遇”的重要讲话精神，继续会同有关部门和地方，以“钉钉子”精神持续做好“31条措施”落实工作，及时协调解决广大台胞台企普遍关心的问题，研究出台更多惠及台湾同胞的政策措施，为台胞台企在大陆发展提供更多便利条件，让台胞有更多的获得感。"
