item_id	name	birthdate	birthplace	jobtitle	roles	gender
nm0237417	Hans Dreier	1885-08-21	Bremen, Germany	Art Director/Art Department/Production Designer	 Art director:542 Art department:4 Production designer:3 Set decorator:3	M
nm0005682	Clyde De Vinna	1890-07-13	Sedalia, Missouri, USA	Cinematographer/Camera and Electrical Department/Writer	 Cinematographer:112 Camera and Electrical Department:14	M
nm0005823	Ernest Palmer	1885-12-06	Kansas City, Missouri, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:140 Camera and Electrical Department:3	M
nm0249186	Arthur Edeson	1891-10-24	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Second Unit Director or Assistant Director	 Cinematographer:135 Camera and Electrical Department:3	M
nm0005870	John F. Seitz	1892-06-23	Chicago, Illinois, USA	C/i/n/e/m/a/t/o/g/r/a/p/h/e/r	 Cinematographer:164	M
nm0515979	Frank Lloyd	1886-02-02	Glasgow, Scotland, UK	Director/Actor/Writer	 Director:135 Actor:63 Writer:42 Producer:30 Miscellaneous Crew:3	M
nm0523932	Ernst Lubitsch	1892-01-29	Berlin, Germany	Director/Actor/Writer	 Director:74 Actor:43 Writer:31 Producer:25 Editor:2 Thanks:2 Self:3 Archive footage:16	M
nm0064600	Harry Beaumont	1888-02-10	Abilene, Kansas, USA	Director/Actor/Writer	 Director:99 Actor:99 Writer:10 Producer:3	M
nm0191899	Irving Cummings	1888-10-09	New York City, New York, USA	Actor/Director/Producer	 Actor:147 Director:82 Producer:15 Writer:8 Miscellaneous Crew:2 Self:3	M
nm0000859	Lionel Barrymore	1878-04-28	Philadelphia, Pennsylvania, USA	Actor/Director/Soundtrack	 Actor:223 Director:15 Soundtrack:6 Writer:5 Composer:2 Self:9 Archive footage:39	M
nm0473134	Hanns Kräly	1884-01-16	Hamburg, Germany	Writer/Actor/Second Unit Director or Assistant Director	 Writer:87 Actor:15	M
nm0580648	Bess Meredyth	1890-02-12	Buffalo, New York, USA	Writer/Actress/Director	 Writer:157 Actress:33 Director:2	F
nm0058179	Tom Barry	1885-07-31	Kansas City, Missouri, USA	Writer/Actor	 Writer:13	M
nm0522674	Josephine Lovett	1877-10-21	San Francisco, California, USA	Writer/Actress	 Writer:34	F
nm0165470	Elliott J. Clawson	1883-01-19	Salt Lake City, Utah, USA	Writer/Producer	 Writer:81 Producer:2	F
nm0002183	George Arliss	1868-04-10	London, England, UK	Actor/Writer/Soundtrack	 Actor:25 Writer:2 Archive footage:11	M
nm0862546	Lawrence Tibbett	1896-11-16	Bakersfield, California, USA	Actor/Soundtrack	 Actor:7 Soundtrack:5 Self:4 Archive footage:2	M
nm0002001	Maurice Chevalier	1888-09-12	Paris, France	Soundtrack/Actor/Writer	 Soundtrack:90 Actor:63 Writer:3 Self:86 Archive footage:57	M
nm0172903	Ronald Colman	1891-02-09	Richmond, Surrey, England, UK	Actor/Soundtrack/Producer	 Actor:62 Soundtrack:3 Writer:2 Production manager:2 Self:9 Archive footage:25	M
nm0000891	Wallace Beery	1885-04-01	Kansas City, Missouri, USA	Actor/Director/Soundtrack	 Actor:241 Director:29 Soundtrack:8 Writer:4 Self:9 Archive footage:35	M
nm0790454	Norma Shearer	1902-08-10	Montréal, Québec, Canada	Actress/Soundtrack	 Actress:65 Soundtrack:9 Self:13 Archive footage:37	F
nm0001256	Greta Garbo	1905-09-18	Stockholm, Stockholms län, Sweden	Actress/Soundtrack	 Actress:33 Soundtrack:5 Thanks:4 Self:6 Archive footage:82	F
nm0007216	Nancy Carroll	1903-11-19	New York City, New York, USA	Actress/Soundtrack	 Actress:47 Soundtrack:10 Self:4	F
nm0743983	Herman Rosse	1887-01-01	Amsterdam, Noord-Holland, Netherlands	Art Director/Art Department/Production Designer	 Art director:7 Art department:3 Production designer:2	F
nm0645605	Jack Okey	1889-06-03	Los Angeles, California, USA	Art Director/Director/Writer	 Art director:110	F
nm0748530	Joseph T. Rucker	1887-01-01	Atlanta, Georgia, USA	C/i/n/e/m/a/t/o/g/r/a/p/h/e/r		M
nm0886447	Willard Van der Veer	1894-08-23	Brooklyn, New York, USA	Cinematographer/Director/Writer	 Cinematographer:8 Director:3	M
nm0200125	William H. Daniels	1901-12-01	Cleveland, Ohio, USA	Cinematographer/Camera and Electrical Department/Producer	 Cinematographer:169 Camera and Electrical Department:4 Producer:4 Self:4 Archive footage:2	M
nm0309974	Tony Gaudio	1883-11-20	Rome, Lazio, Italy	Cinematographer/Director/Camera and Electrical Department	 Cinematographer:148 Director:3 Camera and Electrical Department:2	M
nm0675091	Harry Perry	1888-05-02	NA	Cinematographer/Camera and Electrical Department/Visual Effects	 Cinematographer:30 Camera and Electrical Department:11 Visual effects:8	M
nm0005800	Victor Milner	1893-12-15	New York City, New York, USA	Cinematographer/Actor/Camera and Electrical Department	 Cinematographer:136	M
nm0113284	Clarence Brown	1890-05-10	Clinton, Massachusetts, USA	Director/Producer/Editor	 Director:53 Producer:28 Editor:14 Second Unit Director or Assistant Director:12 Actor:4 Self:3 Archive footage:3	M
nm0502752	Robert Z. Leonard	1889-10-07	Chicago, Illinois, USA	Director/Actor/Producer	 Director:162 Actor:122 Producer:46 Writer:30 Miscellaneous Crew:6 Self:5	M
nm0790428	Douglas Shearer	1899-11-17	Westmount, Québec, Canada	Sound Department/Director/Actor	 Sound department:940	M
nm0481264	Oscar Lagerstrom	1890-11-19	Delhi, Minnesota, USA	Sound Department/Miscellaneous Crew	 Sound department:30	M
nm0872569	John E. Tribby	1903-10-30	Marshall County, Indiana, USA	Sound/ /Department	 Sound department:114	M
nm0360630	Franklin Hansen	1897-05-02	Saugerties, New York, USA	Sound/ /Department	 Sound department:42	M
nm0344060	George Groves	1901-12-13	St. Helens, Merseyside, England, UK	Sound Department/Music Department	 Sound department:22	M
nm0547966	Frances Marion	1888-11-18	San Francisco, California, USA	Writer/Director/Actress	 Writer:189 Director:3 Actress:3 Producer:2 Miscellaneous Crew:2 Archive footage:2	F
nm0007973	George Abbott	1887-06-25	Forestville, New York, USA	Writer/Director/Miscellaneous Crew	 Writer:51 Director:15 Miscellaneous Crew:11 Actor:3 Producer:3 Self:21 Archive footage:2	M
nm0027173	Maxwell Anderson	1888-12-15	Atlantic, Pennsylvania, USA	Writer/Soundtrack/Music Department	 Writer:64 Soundtrack:39 Music department:4	M
nm0028636	Del Andrews	1894-10-05	St. Louis, Missouri, USA	Director/Writer/Editor	 Director:42 Writer:11 Editor:3 Miscellaneous Crew:2	M
nm0430756	Julien Josephson	1881-10-24	Roseburg, Oregon, USA	W/r/i/t/e/r	 Writer:73	M
nm0261455	Howard Estabrook	1884-07-11	Detroit, Michigan, USA	Writer/Actor/Director	 Writer:53 Actor:7 Director:5 Producer:5 Miscellaneous Crew:3	M
nm0576046	John Meehan	1884-05-08	Lindsay, Ontario, Canada	Writer/Miscellaneous Crew	 Writer:39 Miscellaneous Crew:2	M
nm0579663	Adolphe Menjou	1890-02-18	Pittsburgh, Pennsylvania, USA	Actor/Soundtrack/Producer	 Actor:150 Soundtrack:5 Self:22 Archive footage:20	M
nm0545298	Fredric March	1897-08-31	Racine, Wisconsin, USA	Actor/Soundtrack	 Actor:86 Soundtrack:6 Self:27 Archive footage:22	M
nm0178114	Jackie Cooper	1922-09-15	Los Angeles, California, USA	Actor/Director/Producer	 Actor:131 Director:42 Producer:10 Soundtrack:9 Thanks:5 Self:91 Archive footage:24	M
nm0228715	Richard Dix	1893-07-18	St. Paul, Minnesota, USA	Actor/Soundtrack/Producer	 Actor:100 Soundtrack:5 Self:5 Archive footage:7	M
nm0237597	Marie Dressler	1868-11-09	Cobourg, Ontario, Canada	Actress/Soundtrack/Writer	 Actress:31 Soundtrack:8 Writer:2 Self:8 Archive footage:42	F
nm0362267	Ann Harding	1902-08-07	Fort Sam Houston, Texas, USA	Actress/Soundtrack	 Actress:70 Soundtrack:8 Self:4 Archive footage:6	F
nm0002050	Irene Dunne	1898-12-20	Louisville, Kentucky, USA	Actress/Soundtrack	 Actress:51 Soundtrack:23 Self:20 Archive footage:27	F
nm0000017	Marlene Dietrich	1901-12-27	Schöneberg, Berlin, Germany	Soundtrack/Actress/Music Department	 Soundtrack:71 Actress:56 Self:17 Archive footage:95	F
nm0753663	Max Rée	1889-10-07	Copenhagen, Denmark	Costume Designer/Art Department/Art Director	 Costume designer:81 Art department:40 Art director:36 Costume and Wardrobe Department:5	M
nm0329684	Stephen Goosson	1889-03-24	Grand Rapids, Michigan, USA	Art Director/Art Department/Miscellaneous Crew	 Art director:143 Art department:9 Miscellaneous Crew:4 Set decorator:2	M
nm0358518	Ralph Hammeras	1894-03-24	Minneapolis, Minnesota, USA	Special Effects/Visual Effects/Cinematographer	 Special effects:12 Visual effects:12 Cinematographer:3 Miscellaneous Crew:2	M
nm0343819	Anton Grot	1884-01-18	Kielbasin, West Prussia, Germany [now Kielbasin, Kujawsko-Pomorskie, Poland]	Art Director/Art Department/Production Designer	 Art director:117 Art department:4 Production designer:3	M
nm0206554	Richard Day	1896-05-09	Victoria, British Columbia, Canada	Art Director/Art Department/Set Decorator	 Art director:273 Art department:26 Set decorator:4 Costume designer:3 Production designer:2	M
nm0005677	Floyd Crosby	1899-12-12	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:127 Camera and Electrical Department:5	NA
nm0005676	Edward Cronjager	1904-03-21	New York City, New York, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:132	NA
nm0005716	Lee Garmes	1898-05-27	Peoria, Illinois, USA	Cinematographer/Director/Producer	 Cinematographer:144 Director:6 Producer:6 Miscellaneous Crew:3 Self:2	NA
nm0569222	Barney McGill	1890-04-30	Salt Lake City, Utah, USA	Cinematographer/Actor	 Cinematographer:96	M
nm0485702	Charles Lang	1902-03-27	Bluff, Utah, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:150 Camera and Electrical Department:5 Self:2	M
nm0851537	Norman Taurog	1899-02-23	Chicago, Illinois, USA	Director/Writer/Miscellaneous Crew	 Director:185 Writer:38 Miscellaneous Crew:4 Actor:2 Self:3 Archive footage:5	M
nm0903049	Josef von Sternberg	1894-05-29	Vienna, Austria-Hungary [now Austria]	Director/Writer/Second Unit Director or Assistant Director	 Director:34 Writer:15 Second Unit Director or Assistant Director:7 Producer:7 Editor:6 Actor:2 Cinematographer:2 Thanks:3 Self:7 Archive footage:9	M
nm0749484	Wesley Ruggles	1889-06-11	Los Angeles, California, USA	Director/Actor/Producer	 Director:83 Actor:19 Producer:14 Writer:5	M
nm0413590	Horace Jackson	1898-03-29	Venice, Illinois, USA	Writer/Art Director/Art Department	 Writer:29 Art director:6 Art department:2	M
nm0267020	Francis Edward Faragoh	1895-10-16	Budapest, Austria-Hungary [now Hungary]	W/r/i/t/e/r	 Writer:20	M
nm0498133	Robert N. Lee	1890-05-12	Butte, Montana, USA	W/r/i/t/e/r	 Writer:31	M
nm0000581	Joseph L. Mankiewicz	1909-02-11	Wilkes-Barre, Pennsylvania, USA	Writer/Producer/Director	 Writer:69 Producer:23 Director:22 Thanks:3 Self:30 Archive footage:17	M
nm0591791	Sam Mintz	1897-07-12	Minsk, Russian Empire [now Belarus]	W/r/i/t/e/r	 Writer:39	M
nm0589316	Seton I. Miller	1902-05-03	Chehalis, Washington, USA	Writer/Producer/Miscellaneous Crew	 Writer:75 Producer:9 Miscellaneous Crew:2	M
nm0629240	Fred Niblo Jr.	1903-01-23	New York City, New York, USA	W/r/i/t/e/r	 Writer:57	M
nm0766850	John Monk Saunders	1895-11-22	Hinckley, Minnesota, USA	Writer/Director	 Writer:18	M
nm0195496	Harry d'Abbadie d'Arrast	1897-05-06	Buenos Aires, Argentina	Director/Writer/Actor	 Director:11 Writer:7	M
nm0234608	Douglas Z. Doty	1874-10-15	New York City, New York, USA	W/r/i/t/e/r	 Writer:63	M
nm0829330	Donald Ogden Stewart	1894-11-30	Columbus, Ohio, USA	Writer/Actor	 Writer:46 Actor:4 Self:2	M
nm0399203	Lucien Hubbard	1888-12-22	Fort Thomas, Kentucky, USA	Producer/Writer/Miscellaneous Crew	 Producer:60 Writer:53 Miscellaneous Crew:4 Director:3	M
nm0413711	Joseph Jackson	1894-06-08	Winchester, Kentucky, USA	W/r/i/t/e/r	 Writer:54	M
nm0114602	Rowland Brown	1897-11-06	Akron, Ohio, USA	Writer/Director/Miscellaneous Crew	 Writer:24 Director:4	M
nm0109148	John Bright	1908-01-01	Baltimore, Maryland, USA	W/r/i/t/e/r	 Writer:26	M
nm0321891	Kubec Glasmon	1897-08-12	Raciaz, Poland	Writer/Producer	 Writer:21	M
nm0526795	Alfred Lunt	1892-08-12	Milwaukee, Wisconsin, USA	A/c/t/o/r	 Actor:10 Self:4 Archive footage:2	M
nm0371040	Helen Hayes	1900-10-10	Washington, District of Columbia, USA	Actress/Soundtrack	 Actress:59 Self:67 Archive footage:13	F
nm0285007	Lynn Fontanne	1887-12-06	Woodford, Essex, England, UK	Actress	 Actress:9 Self:4 Archive footage:2	F
nm0928781	Gordon Wiles	1904-10-10	Jerseyville, Illinois, USA	Art Director/Director/Production Designer	 Art director:18 Director:11 Production designer:9	F
nm0576226	Lazare Meerson	1900-07-08	Warsaw, Poland, Russian Empire [now Warsaw, Mazowieckie, Poland]	Art Director/Production Designer/Set Decorator	 Art director:43 Production designer:12 Set decorator:9 Art department:6	F
nm0432482	Ray June	1895-03-27	Ithaca, New York, USA	Cinematographer/Miscellaneous Crew	 Cinematographer:182	M
nm0000370	Walt Disney	1901-12-05	Chicago, Illinois, USA	Producer/Actor/Director	 Producer:670 Actor:128 Director:122 Miscellaneous Crew:106 Writer:16 Animation department:16 Soundtrack:5 Editor:4 Camera and Electrical Department:2 Thanks:17 Self:45 Archive footage:130	M
nm0772266	Leon Schlesinger	1884-05-20	Philadelphia, Pennsylvania, USA	Producer/Miscellaneous Crew/Animation Department	 Producer:467 Miscellaneous Crew:9 Animation department:4 Soundtrack:2 Archive footage:10	M
nm0730018	Hal Roach	1892-01-14	Elmira, New York, USA	Producer/Miscellaneous Crew/Writer	 Producer:207 Miscellaneous Crew:216 Writer:183 Director:156 Actor:9 Second Unit Director or Assistant Director:2 Composer:2 Thanks:2 Self:18 Archive footage:17	M
nm0784407	Mack Sennett	1880-01-17	Richmond, Québec, Canada	Producer/Actor/Director	 Producer:117 Actor:362 Director:308 Writer:96 Miscellaneous Crew:15 Composer:3 Self:17 Archive footage:27	M
nm0121667	Edwin J. Burke	1889-08-30	Albany, New York, USA	Writer/Director/Actor	 Writer:36	M
nm0397608	Sidney Howard	1891-06-26	Oakland, California, USA	W/r/i/t/e/r	 Writer:38	M
nm0372698	Percy Heath	1884-01-30	Perry, Missouri, USA	W/r/i/t/e/r	 Writer:53	M
nm0388755	Samuel Hoffenstein	1890-10-09	Kera, Russia	W/r/i/t/e/r	 Writer:42	M
nm0428177	Grover Jones	1893-11-15	Rosedale, Indiana, USA	Writer/Director/Editor	 Writer:115 Director:27 Editor:3 Producer:3	M
nm0574112	William Slavens McNutt	1885-09-12	Urbana, Illinois, USA	Writer/Director	 Writer:37	M
nm0820700	Adela Rogers St. Johns	1894-05-20	Los Angeles, California, USA	W/r/i/t/e/r	 Writer:38 Self:15 Archive footage:5	NA
nm0613848	Jane Murfin	1884-10-27	Quincy, Michigan, USA	Writer/Producer/Director	 Writer:67 Producer:3 Director:2 Miscellaneous Crew:2	F
nm0001452	Charles Laughton	1899-07-01	Victoria Hotel, Scarborough, Yorkshire, England, UK	Actor/Soundtrack/Writer	 Actor:65 Soundtrack:8 Writer:6 Producer:3 Director:2 Self:27 Archive footage:37	M
nm0001366	Leslie Howard	1893-04-03	Forest Hill, London, England, UK	Actor/Producer/Soundtrack	 Actor:33 Producer:11 Soundtrack:5 Director:4 Self:5 Archive footage:29	M
nm0000031	Katharine Hepburn	1907-05-12	Hartford, Connecticut, USA	Actress/Soundtrack/Writer	 Actress:53 Soundtrack:11 Self:36 Archive footage:78	F
nm0944087	Diana Wynyard	1906-01-16	London, England, UK	Actress	 Actress:29 Self:5	F
nm0733480	May Robson	1858-04-19	Moama, New South Wales, Australia	Actress/Soundtrack/Writer	 Actress:65 Soundtrack:4 Self:5 Archive footage:2	F
nm0201419	William S. Darling	1882-09-14	Sándorhaz, Austria-Hungary [now Hungary]	Art Director/Art Department/Set Decorator	 Art director:67 Art department:14 Set decorator:6 Production designer:3	M
nm0027380	Roland Anderson	1903-11-18	Boston, Massachusetts, USA	Art Director/Art Department/Production Designer	 Art director:93	M
nm0005706	George J. Folsey	1898-07-02	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Actor	 Cinematographer:166 Camera and Electrical Department:3 Self:4	M
nm0001008	Frank Capra	1897-05-18	Bisacquino, Sicily, Italy	Director/Writer/Producer	 Director:58 Writer:48 Producer:45 Miscellaneous Crew:3 Actor:2 Editor:2 Thanks:4 Self:36 Archive footage:19	M
nm0002030	George Cukor	1899-07-07	Lower East Side, Manhattan, New York City, New York, USA	Director/Miscellaneous Crew/Second Unit Director or Assistant Director	 Director:65 Miscellaneous Crew:6 Second Unit Director or Assistant Director:2 Thanks:3 Self:34 Archive footage:19	M
nm0487237	Walter Lantz	1899-04-27	New Rochelle, New York, USA	Producer/Director/Animation Department	 Producer:574 Director:256 Animation department:134 Writer:111 Actor:37 Music department:4 Self:10	M
nm0110607	Lou Brock	1892-08-21	Kalamazoo, Michigan, USA	Producer/Writer/Director	 Producer:101 Writer:10 Director:7 Second Unit Director or Assistant Director:2 Miscellaneous Crew:2	M
nm0229553	Warren Doane	1890-10-30	Valley City, North Dakota, USA	Producer/Director/Writer	 Producer:36 Director:13	M
nm0734169	Joe Rock	1893-12-25	New York City, New York, USA	Producer/Actor/Writer	 Producer:122 Actor:100 Writer:38 Director:37 Second Unit Director or Assistant Director:6 Miscellaneous Crew:4 Editor:2	M
nm0809570	Pete Smith	1892-09-04	New York City, New York, USA	Producer/Actor/Writer	 Producer:212 Actor:200 Writer:13 Director:3 Self:89 Archive footage:3	M
nm0506080	Nathan Levinson	1888-07-15	New York City, New York, USA	Sound Department/Special Effects	 Sound department:19 Special effects:2	M
nm0373511	Victor Heerman	1893-08-27	Surrey, England, UK	Director/Writer/Producer	 Director:31 Writer:22	M
nm0556945	Sarah Y. Mason	1896-03-31	Pima, Arizona, USA	W/r/i/t/e/r	 Writer:36	M
nm0728307	Robert Riskin	1897-03-30	New York City, New York, USA	Writer/Producer/Director	 Writer:40 Producer:4 Archive footage:2	M
nm0338233	Paul Green	1894-03-17	Lillington, North Carolina, USA	Writer/Miscellaneous Crew	 Writer:10	M
nm0397022	Sonya Levien	1888-12-25	Panimunik, Russia Empire	W/r/i/t/e/r	 Writer:80	F
nm0520501	Robert Lord	1900-05-01	Chicago, Illinois, USA	Writer/Producer/Production Manager	 Writer:72 Producer:44 Production manager:22	M
nm0531269	Charles MacArthur	1895-11-05	Scranton, Pennsylvania, USA	Writer/Director/Producer	 Writer:53 Director:4 Producer:4 Actor:2	M
nm0000022	Clark Gable	1901-02-01	Cadiz, Ohio, USA	Actor/Soundtrack/Producer	 Actor:82 Soundtrack:10 Self:29 Archive footage:137	M
nm0604656	Frank Morgan	1890-06-01	New York City, New York, USA	Actor/Soundtrack	 Actor:100 Soundtrack:19 Self:4 Archive footage:21	M
nm0001635	William Powell	1892-07-29	Pittsburgh, Pennsylvania, USA	Actor/Soundtrack	 Actor:96 Soundtrack:10 Self:5 Archive footage:33	M
nm0001055	Claudette Colbert	1903-09-13	Saint-Mandé, Seine [now Val-de-Marne], France	Actress/Soundtrack	 Actress:79 Soundtrack:7 Self:26 Archive footage:42	F
nm0000012	Bette Davis	1908-04-05	Lowell, Massachusetts, USA	Actress/Soundtrack/Make-Up Department	 Actress:123 Soundtrack:16 Thanks:2 Self:93 Archive footage:121	F
nm0601254	Grace Moore	1898-12-05	Slabtown, Tennessee, USA	Actress/Soundtrack	 Actress:9 Soundtrack:7 Self:2 Archive footage:6	F
nm0393978	Fredric Hope	1900-01-22	New Brighton, Pennsylvania, USA	Art Director/Art Department/Set Decorator	 Art director:15 Art department:12	F
nm0689026	Van Nest Polglase	1898-08-25	Brooklyn, New York City, New York, USA	Art Director/Art Department/Production Designer	 Art director:335 Art department:25 Production designer:7	M
nm0163754	Carroll Clark	1894-02-06	Mountain View, California, USA	Art Director/Art Department/Production Designer	 Art director:175 Art department:56 Production designer:2	NA
nm0914112	John Waters	1893-10-31	New York City, New York, USA	Second Unit Director or Assistant Director/Director/Producer	 Second Unit Director or Assistant Director:43 Director:14	NA
nm0851121	Cullen Tate	1896-03-10	Paducah, Kentucky, USA	Second Unit Director or Assistant Director/Director/Actor	 Second Unit Director or Assistant Director:31 Director:4 Actor:2	M
nm0063634	Scott R. Beal	1890-04-14	Quinnesec, Michigan, USA	Second Unit Director or Assistant Director/Actor/Production Manager	 Second Unit Director or Assistant Director:32 Actor:19 Production manager:4 Director:3	M
nm0006276	Victor Schertzinger	1888-04-08	Mahanoy City, Pennsylvania, USA	Soundtrack/Director/Music Department	 Soundtrack:119 Director:89 Music department:32 Composer:23 Writer:6 Producer:5	M
nm0886754	W.S. Van Dyke	1889-03-21	San Diego, California, USA	Director/Writer/Producer	 Director:91 Writer:15 Producer:8 Second Unit Director or Assistant Director:7 Actor:4 Self:3	M
nm0626308	Conrad A. Nervig	1889-06-24	Grant County, South Dakota, USA	Editor/Editorial Department	 Editor:81	NA
nm0061640	Anne Bauchens	1882-02-02	St. Louis, Missouri, USA	Editor/Actress/Second Unit Director or Assistant Director	 Editor:63 Self:2	F
nm0587332	Gene Milford	1902-01-19	Lamar, Colorado, USA	Editor/Editorial Department/Director	 Editor:112 Editorial department:6 Director:3	F
