"","縣市","姓名","金額","描述","link","選舉","推薦政黨","當選註記","count"
"34","新北市","陳儀君",701600,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為701600元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/10A3zxQpW_vrnN7-Jtnuca2toRIGMpHzR1JHcaqY5gyU/edit?usp=sharing","2018 議員","中國國民黨","*",3
"35","臺北市","陳義洲",1228234,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為1228234元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1xm2QK7ywAhxhDxP0SVlSMb_C9S4YW8KhF0L9IiwmwvM/edit?usp=sharing","2018 議員","中國國民黨","*",1
"36","臺北市","陳又新",448151,"宣傳支出中，有標示廣告看板支出細項，共申報10筆。總金額為448151元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1b9SgP0yCUfP9CPi5PjnXtHLcyadQ3Y6nBiluInJCKac/edit?usp=sharing","2018 議員","社會民主黨",NA,1
"37","臺北市","陳政忠",184783,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為184783元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1wspbHAWpf2SSrXjw5rxYdZ1eQU5k444EaAMLW8bcs_A/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦","*",8
"38","臺北市","陳重文",702626,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為702626元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1GqVuZeLT2ORoUB2GgrBSKHiQ7NlFTt83bDEdacIWD9c/edit?usp=sharing","2018 議員","中國國民黨","*",3
"39","臺南市","陳宗明",1310000,"宣傳支出中，有標示廣告看板支出細項，共申報18筆。總金額為1310000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1SGBI6zZk7FgDYvyoPV1io4t5xLnt2NoZjZICjHR1zG4/edit?usp=sharing","2018 議員","民主進步黨",NA,1
"40","臺北市","戴錫欽",1201485,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為1201485元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1yCrmrYOa5oCdDx_7LeUeEZcFLsgafaIPRmD3ASHkm0w/edit?usp=sharing","2018 議員","中國國民黨","*",20
"41","新北市","丁睿昇",73500,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為73500元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1KAgKjBh042yB-nGgBqWvX6ZxSKXgJtHAMys7Tmq4ohk/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,1
"42","桃園市","段樹文",66620,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為66620元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1qMHIKiSQl9HmfnNnUAccBGnVo_50BevS-fG1la60oOg/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,1
"43","臺北市","高嘉瑜",25000,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為25000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1s4PkyVs8kSscAH0TcwP2qpUqpMTKJV9JVMAhllDtu6M/edit?usp=sharing","2018 議員","民主進步黨","*",4
"44","新北市","高敏慧",281500,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為281500元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1BozUsGji5x2X8L-oAjH-EKHFSlk4l9l7HLBbOCBpmvA/edit?usp=sharing","2018 議員","民主進步黨","*",1
"45","臺南市","高思博",10373221,"宣傳支出中，有標示廣告看板支出細項，共申報19筆。總金額為10373221元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1Q8wcwpl6tt9X86JEuCynKnwu_1rXDwikia8twGXQpz0/edit?usp=sharing","2018 縣市長","中國國民黨",NA,10
"46","彰化縣","顧黃水花",272206,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為272206元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1kBpdwhFRjcMUxNHAbEuDyDMWZyFUF_qpuDDSxJEqclw/edit?usp=sharing","2018 議員","中國國民黨","*",1
"47","高雄市","韓國瑜",5851959,"宣傳支出中，有標示廣告看板支出細項，共申報25筆。總金額為5851959元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1I6th54xQDO0_whaQ1sXUa8b5-HfvV1DRSR0ro25XH2o/edit?usp=sharing","2018 縣市長","中國國民黨","*",20
"48","新北市","何博文",219354,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為219354元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1B_DFeu7sspmBaometka34_rzhk8z34H-teeXz9XGXF8/edit?usp=sharing","2018 議員","民主進步黨","*",2
"49","臺中市","何文海",1660020,"宣傳支出中，有標示廣告看板支出細項，共申報11筆。總金額為1660020元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1AaTm_6AplqYR-9-t3t_clC_Ppxax6sdN6YCWAIu6HV4/edit?usp=sharing","2018 議員","民主進步黨","*",3
"50","桃園市","洪春健",78750,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為78750元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1yOfWlLdMbPdj0sXzBRg8xRLBaebpcSFIirWPsn3i-j4/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,1
"51","新北市","洪佳君",1698239,"宣傳支出中，有標示廣告看板支出細項，共申報39筆。總金額為1698239元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1y3Eenl3HaIrkwQJjT5V3bkbMPuk5iu-Y7_YmZzxVAZ0/edit?usp=sharing","2018 議員","中國國民黨","*",1
"52","臺北市","洪健益",694000,"宣傳支出中，有標示廣告看板支出細項，共申報10筆。總金額為694000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1aw26kMqcRwBlDKhN69GPx8F4YZdEicxgV7i_dONvcr8/edit?usp=sharing","2018 議員","民主進步黨","*",29
"53","臺北市","洪士奇",563640,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為563640元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1rxZVLX12owDwed9ZoB5fVZjeGmceQf8QB9Kks33arVY/edit?usp=sharing","2018 議員","親民黨",NA,9
"54","臺南市","洪玉鳳",731813,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為731813元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1aS3xBrFU3ojP7Un7hEoRtjb9LAUPFeAxeBONMB4KqMM/edit?usp=sharing","2018 議員","中國國民黨","*",6
"55","新北市","侯友宜",1157254,"宣傳支出中，有標示廣告看板支出細項，共申報9筆。總金額為1157254元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1rEB8KATHL2n4TBGWKQtzGyJhWRwGoQBFBoHSNu8yu9g/edit?usp=sharing","2018 縣市長","中國國民黨","*",42
"56","宜蘭縣","黃定和",135000,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為135000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1CFUiP9eA2-rNbxMwxzNR204I8u6mnlPsA4zB9-RQqPs/edit?usp=sharing","2018 議員","中國國民黨","*",5
"57","臺中市","黃健豪",778079,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為778079元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1vHJ1x9xza3Q0oMDCH4ds4BAw7GRMvH9RUUvDSxp9c1A/edit?usp=sharing","2018 議員","中國國民黨","*",2
"58","桃園市","黃敬平",1191045,"宣傳支出中，有標示廣告看板支出細項，共申報31筆。總金額為1191045元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1GxW_EXjIkiIE7mQCQj8KxMs_popXLqh7Xj0rmxDdpiI/edit?usp=sharing","2018 議員","中國國民黨","*",2
"59","新北市","黃俊哲",232027,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為232027元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1WHvo9F9z2kjewK8E8a266__L-6DyhZx_cYbOSluI2js/edit?usp=sharing","2018 議員","民主進步黨","*",13
"60","新竹市","黃瑞誠",198545,"宣傳支出中，有標示廣告看板支出細項，共申報11筆。總金額為198545元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/10kghUt6DDCiKnyzHAuQImSk1GH0Rjx56VkmwV7aOOSE/edit?usp=sharing","2018 議員","時代力量",NA,1
"61","臺北市","黃珊珊",2789633,"宣傳支出中，有標示廣告看板支出細項，共申報6筆。總金額為2789633元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/18fkNighuPjKXDM7YfJvrbV97D36Bhso7MK2AWE2u05k/edit?usp=sharing","2018 議員","親民黨","*",6
"62","高雄市","黃紹庭",1013200,"宣傳支出中，有標示廣告看板支出細項，共申報16筆。總金額為1013200元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1oHFpk8RmVFAEqVqhYqJdTQN4ZD6wq66biD0ujxKFjX0/edit?usp=sharing","2018 議員","中國國民黨","*",2
"63","臺中市","黃守達",507250,"宣傳支出中，有標示廣告看板支出細項，共申報51筆。總金額為507250元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1ppnFBItZOsOgTJjcPV9MlOH6YtPqtoRBSvVrNU5dAKY/edit?usp=sharing","2018 議員","民主進步黨","*",2
"64","臺中市","黃淑芬",40000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為40000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1BJKC2HPujBrSHw86DzjVBBWsigPa8gmtKO1WwS81lrw/edit?usp=sharing","2018 議員","民主進步黨",NA,1
"65","高雄市","黃淑美",1576400,"宣傳支出中，有標示廣告看板支出細項，共申報6筆。總金額為1576400元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1qnABJ9SZmYljggfJvyD79IFGxJKTyeZ-ezas5TWNI_U/edit?usp=sharing","2018 議員","台灣團結聯盟",NA,2
"66","臺南市","黃偉哲",570447,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為570447元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1kqorq8LpB8uzSZdSc074KmqdTAntVo8ZpcI2VRg3bBw/edit?usp=sharing","2018 縣市長","民主進步黨","*",4
"67","彰化縣","黃文玲",860334,"宣傳支出中，有標示廣告看板支出細項，共申報43筆。總金額為860334元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1eR_HdlPn4mGlNbgkkoj75vzK_yQSHxprM2aapsU5C8A/edit?usp=sharing","2018 縣市長","無黨籍及未經政黨推薦",NA,2
"68","臺中市","黃文生",330000,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為330000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1C51gJiZI5g0wfLOIph4Ogh8SWAYeMuEqwu3sxfTa_w8/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,1
"69","高雄市","黃文益",653783,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為653783元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1RD_2tu75YakhpEDX-tWabZTP0nJABxr0wQ7EfiJzaFY/edit?usp=sharing","2018 議員","民主進步黨","*",5
"70","高雄市","黃文志",358600,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為358600元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1kk2u-OdDxRo4i6sMjvgmz4k4tyu0J3M7M0VFATvJvhU/edit?usp=sharing","2018 議員","民主進步黨","*",1
"71","高雄市","黃香菽",100310,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為100310元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1193wMOr0XrITAkkwBKMsSzzJj6n8SzTruTG2hVLmtig/edit?usp=sharing","2018 議員","中國國民黨","*",2
"72","桃園市","黃永鎮",666550,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為666550元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1OniZXBT7wyY8uuoYzbq8GAzLw9Vv0i7f-PcyQ0dADeA/edit?usp=sharing","2018 議員","民主進步黨",NA,1
"73","臺北市","黃郁芬",267727,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為267727元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1jW1tVbPRU7NLHwxuDKMuTHYnXsH64gQAaMeLMjCyu4k/edit?usp=sharing","2018 議員","時代力量","*",1
"74","新北市","黃智姍",483207,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為483207元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1PtW4uUkEUFmrUSPqqCakUXr3-EK10au_fFZYY2kT1A0/edit?usp=sharing","2018 議員","時代力量",NA,11
"75","臺北市","簡舒培",1824396,"宣傳支出中，有標示廣告看板支出細項，共申報19筆。總金額為1824396元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1nuF7_c4hPEZdDLa3pxQkRVw9g--ah7Fzal_-XAxRPwY/edit?usp=sharing","2018 議員","民主進步黨","*",6
"76","基隆市","江鑒育",213800,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為213800元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1XFDUZT6wQPA5zDycN5G6RY8pwaZcBnz3S3PHWL24vrc/edit?usp=sharing","2018 議員","中國國民黨","*",1
"77","新北市","江怡臻",12600,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為12600元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/11Hb_3JLDtDUCEML45ZIG12pjbObCtczYqga_GZOlfZE/edit?usp=sharing","2018 議員","中國國民黨","*",4
"78","臺中市","江肇國",566707,"宣傳支出中，有標示廣告看板支出細項，共申報8筆。總金額為566707元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/11b-AQXchVowBrWDOI2_ibdIFYJmy6oJGS3xtvSLD8RQ/edit?usp=sharing","2018 議員","民主進步黨","*",2
"79","臺北市","江志銘",525641,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為525641元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1IZmXi9FEIPE9KC-IXfP53HwIGvWkPqNU5e1A2gMm2nw/edit?usp=sharing","2018 議員","民主進步黨","*",10
"80","基隆市","江志強",397800,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為397800元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1Z4kvsxvrXoGithdJYUMXUsxUVD11WYSqrrDfJd16iPI/edit?usp=sharing","2018 議員","民主進步黨",NA,5
"81","新北市","金中玉",38000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為38000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1_p2tcp-G2M-FRztMg-KXq5V7xW84do55DBIUXBn1XNU/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦","*",3
"82","宜蘭縣","康思源",135500,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為135500元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1cZNcaEyh_C9_SUJIpTSqg2yfxU35bZUwI9o6HWaCNJk/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,2
"83","高雄市","康裕成",1253777,"宣傳支出中，有標示廣告看板支出細項，共申報58筆。總金額為1253777元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1Gg5NMK8e6OxWQulHZrb43QUjWyMW3DckG9bQK4mOt2M/edit?usp=sharing","2018 議員","民主進步黨","*",1
"84","新北市","賴秋媚",410000,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為410000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/19b8SVlvAMb3wPi6BM8wCrRLlEp9dmXh7nnT8vksyt6U/edit?usp=sharing","2018 議員","民主進步黨","*",1
"85","臺中市","賴順仁",820666,"宣傳支出中，有標示廣告看板支出細項，共申報17筆。總金額為820666元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1_OXuPc-CULS0eRtxpKC6oigJBF8sgWnVGN9II7WBlwc/edit?usp=sharing","2018 議員","中國國民黨","*",1
"86","臺中市","賴怡均",105042,"宣傳支出中，有標示廣告看板支出細項，共申報9筆。總金額為105042元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1m29aW7rV7-FayzgFD-5sKgHzFUBHsyUjsNgVLaG-UoQ/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦",NA,4
"87","基隆市","藍敏煌",270000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為270000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1Rk4AXBTDqLA2gTAWh0e5whQVCipmYS_Ct4D71vra1F0/edit?usp=sharing","2018 議員","中國國民黨","*",2
"88","臺北市","李柏毅",947533,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為947533元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/15ATrk_zwnGzQOLEOPajqqfpiamA6DU67vUElRjtXXu8/edit?usp=sharing","2018 議員","中國國民黨","*",15
"89","高雄市","李柏毅",1214740,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為1214740元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1IUeyZm3f6Gg4sHYT_FvWWLpzvU_7fQzvx9HMRLaMwXw/edit?usp=sharing","2018 議員","民主進步黨","*",15
