商業名稱,商業所在地,資本額,設立年度,設立日期,地址一,地址二,狀態
長福食品坊,臺北市大安區忠孝東路4段223巷51號,2e+05,101,101/06/25,305790.018,2770664.392,dismiss
璽發商行,臺北市大安區忠孝東路4段216巷39號,1e+06,101,101/06/08,305807.288,2770239.35,dismiss
小檳城小吃店,臺北市大安區忠孝東路4段223巷47號,2e+05,101,101/06/15,305788.297,2770643.712,dismiss
鍋大王餐館,臺北市大安區忠孝東路4段223巷10弄3號,1e+05,101,101/06/20,305832.648,2770560.869,dismiss
好得意假髮企業社,臺北市大安區忠孝東路4段120之25號,2e+05,101,101/06/22,305242.007,2770459.047,dismiss
雷衣商行,臺北市大安區忠孝東路4段101巷30號,2e+05,101,101/07/09,305298.697,2770638.909,dismiss
凱高商行,臺北市大安區忠孝東路4段216巷27弄4號,2e+05,101,101/07/27,305831.161,2770299.719,dismiss
戀依商行,臺北市大安區忠孝東路4段97號地下之8,1e+05,101,101/07/03,305292.392,2770514.207,dismiss
米多烘焙,臺北市大安區忠孝東路4段130號,2e+05,101,101/07/27,305304.767,2770467.825,dismiss
智剛坊,臺北市大安區忠孝東路4段181巷7弄3號1樓,2e+05,101,101/07/02,305594.008,2770563.918,dismiss
百信商行,臺北市大安區忠孝東路4段216巷8弄16號,2e+05,101,101/08/08,305714.167,2770398.254,dismiss
茶街餐坊,臺北市大安區忠孝東路4段181巷7弄21號1樓,2e+05,101,101/08/09,305668.107,2770564.627,dismiss
品鑫餐飲店,臺北市信義區忠孝東路4段553巷12號,2e+05,101,101/08/28,306793.942,2770609.558,dismiss
咖好斯工作坊,臺北市大安區忠孝東路4段170巷6弄1之1號,2e+05,101,101/08/20,305557.998,2770421.871,dismiss
新機感手藝工作室,臺北市大安區忠孝東路4段49巷4弄4號,20000,101,101/08/14,305033.299,2770567.594,dismiss
唯雅服飾,臺北市大安區忠孝東路4段87之3號,168000,101,101/08/06,305269.72,2770529.942,dismiss
樂芙莉莉精品服飾店,臺北市大安區忠孝東路4段49巷4弄2號,2e+05,101,101/09/14,305029.634,2770567.629,dismiss
麋鹿鹿流行商行,臺北市大安區忠孝東路4段223巷69號,50000,101,101/09/20,305781.457,2770738.629,dismiss
里可服飾店,臺北市大安區忠孝東路4段223巷69號,2e+05,101,101/09/25,305781.457,2770738.629,dismiss
普?愛爾精品商行,臺北市大安區忠孝東路4段181巷6號,50000,101,101/09/24,305569.453,2770522.649,dismiss
貳壹陸牛肉麵館,臺北市大安區忠孝東路4段216巷33弄6號,2e+05,101,101/09/04,305835.439,2770247.117,dismiss
伊斯貝嵐莎精品店,臺北市大安區忠孝東路4段181巷40弄6號,230000,101,101/09/20,305544.09,2770751.574,dismiss
和記銀樓,臺北市大安區忠孝東路4段163號1樓,2e+06,101,101/10/08,305523.314,2770510.006,dismiss
東集小店,臺北市大安區忠孝東路4段101巷30號1樓,1e+05,101,101/10/17,305298.697,2770638.909,dismiss
野火小吃店,臺北市大安區忠孝東路4段205巷7弄7號,50000,101,101/10/09,305733.02,2770562.786,dismiss
愛情鮮茶軒,臺北市信義區忠孝東路4段559巷12號,2e+05,101,101/10/01,306882.72,2770556.895,dismiss
邏溧服飾精品店,臺北市大安區忠孝東路4段223巷49弄5號,2e+05,101,101/10/01,305758.965,2770664.876,dismiss
爵霈精品商行,臺北市大安區忠孝東路4段181巷6號,50000,101,101/11/23,305569.453,2770522.649,dismiss
香蕉七號咖啡企業社,臺北市信義區忠孝東路4段559巷32號,2e+05,101,101/11/23,306887.1,2770660.725,dismiss
瑪姬的愛藝品店,臺北市大安區忠孝東路4段248巷11號1樓,2e+05,101,101/11/21,305918.544,2770385.469,dismiss
艾微名店,臺北市大安區忠孝東路4段181巷6號,1e+05,101,101/12/07,305569.453,2770522.649,dismiss
純純服飾精品行,臺北市大安區忠孝東路4段87之4號,2e+05,101,101/12/03,305265.548,2770536.339,dismiss
小巴黎服飾店,臺北市大安區忠孝東路4段181巷6號,1e+05,101,101/12/06,305569.453,2770522.649,dismiss
采辰精品店,臺北市大安區忠孝東路4段205巷29弄2號1樓,245000,101,101/12/28,305704.663,2770659.331,dismiss
珮爾森精品店,臺北市大安區忠孝東路4段223巷63號,240000,102,102/01/31,305789.309,2770720.067,dismiss
瑪卡精品店,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,102,102/01/30,305730.58,2770674.218,dismiss
美美嬌商行,臺北市大安區忠孝東路4段223巷56號,1e+05,102,102/01/07,305811.642,2770750.838,dismiss
可妮精緻精品店,臺北市大安區忠孝東路4段205巷29弄8號1樓,2e+05,102,102/01/31,305730.581,2770659.156,dismiss
蓁豆家商行,臺北市大安區忠孝東路4段97號地下樓,50000,102,102/01/23,305292.392,2770514.207,dismiss
未來時尚服飾店,臺北市大安區忠孝東路4段205巷26弄5號,1e+05,102,102/01/10,305659.789,2770688.224,dismiss
鑫美味關係小吃店,臺北市大安區忠孝東路4段223巷43號1樓,2e+05,102,102/03/06,305788.184,2770622.299,dismiss
鳳卉花店,臺北市信義區忠孝東路4段553巷12號1樓,1e+05,102,102/03/01,306793.942,2770609.558,dismiss
東區眼鏡行,臺北市大安區忠孝東路4段216巷30號,2e+05,102,102/04/11,305787.241,2770322.462,dismiss
祿鼎紅餐廳,臺北市大安區忠孝東路4段216巷32弄11號,4e+05,102,102/04/09,305725.088,2770324.506,dismiss
翰昇彥造型工作室,臺北市大安區忠孝東路4段223巷56號,1e+06,102,102/05/27,305811.642,2770750.838,dismiss
妍品服飾精品坊,臺北市大安區忠孝東路4段181巷40弄6號,240000,102,102/05/03,305544.09,2770751.574,dismiss
長耳兔服飾店,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,102,102/05/30,305730.58,2770674.218,dismiss
小東西商行,臺北市大安區忠孝東路4段87號,2e+05,102,102/05/27,305259.051,2770514.503,dismiss
布蕾絲服飾,臺北市大安區忠孝東路4段49巷8號,2e+05,102,102/06/03,305028.826,2770626.107,dismiss
黃氏創意工作室,臺北市大安區忠孝東路4段181巷6號,150000,102,102/06/19,305569.453,2770522.649,dismiss
米露服飾行,臺北市大安區忠孝東路4段205巷29弄7號1樓,10000,102,102/06/11,305730.58,2770674.218,dismiss
梧特商行,臺北市大安區忠孝東路4段205巷39號之1,2e+05,102,102/06/20,305706.78,2770751.776,dismiss
伊豆子服飾店,臺北市信義區忠孝東路4段248巷15號1樓,49000,102,102/07/08,306873.309;306296.286,2770756.684;2770449.713,dismiss
巷子裡的貓商店,臺北市大安區忠孝東路4段248巷2號,2e+05,102,102/07/24,305905.814,2770424.482,dismiss
璀色精品店,臺北市大安區忠孝東路4段216巷19弄5號1樓,2e+05,102,102/07/12,305833.136,2770370.416,dismiss
言姿有理服飾店,臺北市大安區忠孝東路4段87之4號,10000,102,102/07/30,305265.548,2770536.339,dismiss
好發商行,臺北市信義區忠孝東路4段559巷16弄8號1樓,2e+05,102,102/07/11,306920.255,2770578.816,dismiss
紫竹藤精品店,臺北市大安區忠孝東路4段97號1樓,1e+05,102,102/07/19,305292.392,2770514.207,dismiss
虹宴日式火鍋燒肉店,臺北市大安區忠孝東路4段49巷4弄6號8號1樓,2e+05,102,102/07/19,305037.307,2770567.508,dismiss
恬恬童鞋坊,臺北市大安區忠孝東路4段71號1樓,30000,102,102/08/05,305170.164,2770555.421,dismiss
張?銘美容企業社,臺北市大安區忠孝東路4段73之17號,80000,102,102/08/30,305198.004,2770521.833,dismiss
美饌小吃店,臺北市大安區忠孝東路4段216巷19弄6號1樓,240000,102,102/08/12,305845.601,2770347.732,dismiss
八駿商行,臺北市大安區忠孝東路4段223巷10弄5號1樓,2e+05,102,102/08/07,305839.338,2770560.887,dismiss
米斯契夫精品商行,臺北市大安區忠孝東路4段181巷40弄10號,2e+05,102,102/08/13,305527.305,2770752.159,dismiss
二哥養生館,臺北市大安區忠孝東路4段248巷8號1樓,1e+05,102,102/08/01,305905.009,2770374.438,dismiss
王飛小吃店,臺北市大安區忠孝東路4段205巷7弄13號1樓,2e+05,102,102/09/25,305762.356,2770562.95,dismiss
粉紅馬丁尼精品店,臺北市大安區忠孝東路4段216巷29號,2e+05,102,102/09/10,305809.157,2770300.072,dismiss
豆芽菜中式餐館,臺北市信義區忠孝東路4段553巷6弄14之1號,2e+05,102,102/09/02,306848.728,2770570.883,dismiss
媚力美容用品行,臺北市信義區忠孝東路4段553巷6弄16號1樓,1e+06,102,102/09/14,306861.371,2770571.227,dismiss
海瑟日系服飾店,臺北市大安區忠孝東路4段97號地下之17,1e+05,102,102/11/18,305292.392,2770514.207,dismiss
湯姆美式食品店,臺北市大安區忠孝東路4段248巷2號,2e+05,102,102/11/22,305905.814,2770424.482,dismiss
尚宣服飾行,臺北市大安區忠孝東路4段223巷56號,1e+05,102,102/11/01,305811.642,2770750.838,dismiss
琦琦時尚設計工作坊,臺北市大安區忠孝東路4段223巷22號,80000,102,102/11/12,305810.042,2770610.512,dismiss
果發咖啡店,臺北市信義區忠孝東路4段559巷16弄8號,1e+05,102,102/11/27,306920.255,2770578.816,dismiss
好事藝術工作室,臺北市大安區忠孝東路4段205巷29弄5號1樓,1e+05,102,102/11/11,305722.713,2770674.218,dismiss
正宮小吃店,臺北市大安區忠孝東路4段216巷8弄10號,2e+05,102,102/11/05,305745.671,2770403.357,dismiss
布里恩茲小吃店,臺北市大安區忠孝東路4段216巷27弄8號1樓,2e+05,102,102/11/27,305853.63,2770297.561,dismiss
八陽服飾店,臺北市大安區忠孝東路4段216巷29號,80000,102,102/12/12,305809.157,2770300.072,dismiss
樵瑋飲料店,臺北市信義區忠孝東路4段553巷6弄16號,50000,102,102/12/16,306861.371,2770571.227,dismiss
啤咖飲料坊,臺北市大安區忠孝東路4段170巷6弄1之1號,2e+05,102,102/12/04,305557.998,2770421.871,dismiss
發發實業社,臺北市大安區忠孝東路4段97號地下樓之20,2e+05,102,102/12/24,305292.392,2770514.207,dismiss
吉米克斯精品商行,臺北市大安區忠孝東路4段181巷6號,1e+05,102,102/10/11,305569.453,2770522.649,dismiss
巧禾茶坊,臺北市大安區忠孝東路4段170巷5弄22號,1200000,102,102/10/21,305697.837,2770398.254,dismiss
風格概要個人工作室,臺北市大安區忠孝東路4段205巷29弄7號,1e+05,102,102/10/02,305730.58,2770674.218,dismiss
杜比比服飾店,臺北市大安區忠孝東路4段223巷36號,88000,102,102/10/01,305811.009,2770665.773,dismiss
新溿葶服飾店,臺北市大安區忠孝東路4段101巷10號,2e+05,102,102/10/30,305293.376,2770571.363,dismiss
夏兒精品服飾店,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,102,102/10/23,305730.58,2770674.218,dismiss
傑開商行,臺北市大安區忠孝東路4段181巷6號,80000,102,102/10/02,305569.453,2770522.649,dismiss
昕婍工作室,臺北市大安區忠孝東路4段51之9號,2e+05,102,102/10/23,305032.039,2770531.154,dismiss
日昕工作室,臺北市大安區忠孝東路4段51之9號,2e+05,102,102/10/23,305032.039,2770531.154,dismiss
假日理容院,臺北市大安區忠孝東路4段101巷14號1樓,50000,102,102/10/24,305293.246,2770588.936,dismiss
太子城生活館,臺北市大安區忠孝東路4段330號地下樓,1500000,102,102/10/08,306245.871,2770449.306,dismiss
偉文彩券行,臺北市大安區忠孝東路4段170巷5弄22號,60000,103,103/01/09,305697.837,2770398.254,dismiss
沛儀精品館,臺北市大安區忠孝東路4段216巷35號,1e+06,103,103/01/07,305807.452,2770247.455,dismiss
鮮鍋蓋小吃店,臺北市大安區忠孝東路4段216巷11弄18號,238000,103,103/01/20,305887.243,2770398.316,dismiss
悅力國際精品,臺北市大安區忠孝東路4段205巷29弄7號(1樓),2e+05,103,103/01/23,305730.58,2770674.218,dismiss
奧斯曼精品店,臺北市大安區忠孝東路4段216巷27弄17號,50000,103,103/01/15,305895.758,2770319.367,dismiss
福星企業社,臺北市大安區忠孝東路4段170巷5弄22號,88000,103,103/01/09,305697.837,2770398.254,dismiss
徐玉霞企業社,臺北市大安區忠孝東路4段71號地下1層,88000,103,103/01/09,305170.164,2770555.421,dismiss
茱莉亞工坊,臺北市大安區忠孝東路4段216巷8弄2號1樓,2e+05,103,103/01/14,305785.84,2770402.063,dismiss
壹號店精品行,臺北市大安區忠孝東路4段181巷7弄3號,2e+05,103,103/02/18,305594.008,2770563.918,dismiss
上恩商行,臺北市大安區忠孝東路4段223巷34號,2e+05,103,103/02/12,305810.98,2770662.308,dismiss
宏發通訊行,臺北市大安區忠孝東路4段223巷22號,2e+05,103,103/02/20,305810.042,2770610.512,dismiss
盒子時尚概念館,臺北市大安區忠孝東路4段205巷14號,2e+05,103,103/03/28,305685.535,2770567.691,dismiss
首烏食補堂,臺北市大安區忠孝東路4段146巷1號1樓,2e+05,103,103/03/28,305471.619,2770442.188,dismiss
兩隻小魚甜不辣小吃店,臺北市信義區忠孝東路4段559巷12號,60000,103,103/03/25,306882.72,2770556.895,dismiss
泰品企業社,臺北市大安區忠孝東路4段170巷17弄12號,2e+05,103,103/03/03,305644.658,2770300.038,dismiss
忻昕兒服飾商行,臺北市大安區忠孝東路4段181巷6號,50000,103,103/03/24,305569.453,2770522.649,dismiss
五龍水果行,臺北市大安區忠孝東路4段216巷35號1樓,50000,103,103/03/28,305807.452,2770247.455,dismiss
你會發彩券行,臺北市大安區忠孝東路4段216巷23號,10000,103,103/03/31,305808.654,2770329.279,dismiss
艾家清真黃牛肉麵館,臺北市大安區忠孝東路4段223巷41號1樓,30000,103,103/03/18,305788.146,2770614.945,dismiss
嘉利銀樓,臺北市大安區忠孝東路4段216巷55號1樓,3e+05,103,103/04/17,305807.07,2770177.203,dismiss
日日樂彩券行,臺北市大安區忠孝東路4段216巷29號,50000,103,103/04/15,305809.157,2770300.072,dismiss
潔西小舖,臺北市大安區忠孝東路4段216巷30號,2e+05,103,103/04/11,305787.241,2770322.462,dismiss
時羞餐飲,臺北市大安區忠孝東路4段250之4號,2e+05,103,103/04/28,305939.412,2770455.139,dismiss
對應髮廊,臺北市大安區忠孝東路4段216巷32弄18號1樓,2e+05,103,103/04/01,305698.725,2770302.115,dismiss
富勝商行,臺北市大安區忠孝東路4段223巷32號,80000,103,103/04/29,305810.309,2770642.847,dismiss
鮮納肚實業社,臺北市大安區忠孝東路4段101巷10之2號,1e+05,103,103/05/30,305293.31,2770580.2,dismiss
安居吾伍小吃店,臺北市大安區忠孝東路4段223巷55號(1樓),1e+05,103,103/05/19,305789.94,2770675.422,dismiss
討喜造型工作室,臺北市大安區忠孝東路4段170巷14號地下,2e+05,103,103/05/29,305590.473,2770378.994,dismiss
派思翠精品服飾店,臺北市大安區忠孝東路4段205巷14號,50000,103,103/06/11,305685.535,2770567.691,dismiss
京樂餐飲商行,臺北市大安區忠孝東路4段181巷39號,1e+05,103,103/06/30,305586.248,2770792.768,dismiss
芭斯汀服飾精品店,臺北市大安區忠孝東路4段181巷40弄15號,2e+05,103,103/06/10,305475.944,2770770.308,dismiss
百變俏妞時尚服飾店,臺北市大安區忠孝東路4段223巷22號,2e+05,103,103/06/04,305810.042,2770610.512,dismiss
鍋苑小吃店,臺北市大安區忠孝東路4段205巷7弄13號,2e+05,103,103/06/05,305762.356,2770562.95,dismiss
這野廚房,臺北市信義區忠孝東路4段559巷16弄18號,2e+05,103,103/06/09,306932.992,2770580.804,dismiss
高堤商行,臺北市大安區忠孝東路4段248巷6號,2e+05,103,103/06/10,305904.832,2770393.86,dismiss
愛心精品服飾店,臺北市大安區忠孝東路4段223巷49弄7號(1樓),2e+05,103,103/07/16,305750.549,2770664.876,dismiss
布洛森工作室,臺北市大安區忠孝東路4段205巷29弄7號1樓,1e+05,103,103/07/24,305730.58,2770674.218,dismiss
狩獵精品服飾店,臺北市大安區忠孝東路4段205巷26弄6號,1e+05,103,103/07/22,305660.47,2770677.691,dismiss
藿莉婍衣館,臺北市大安區忠孝東路4段223巷69號,2e+05,103,103/07/16,305781.457,2770738.629,dismiss
麋鹿服飾精品店,臺北市大安區忠孝東路4段101巷30號,1e+06,103,103/07/02,305298.697,2770638.909,dismiss
九街商行,臺北市大安區忠孝東路4段87之18號(1樓),2e+05,103,103/08/11,305292.103,2770529.137,dismiss
千暉素食館,臺北市大安區忠孝東路4段40巷臨13號,2e+05,103,103/08/19,304961.799,2770445.22,dismiss
帝凡內企業社,臺北市大安區忠孝東路4段126之6號,2e+05,103,103/08/05,305257.443,2770433.119,dismiss
完販點商行,臺北市大安區忠孝東路4段248巷6號,2e+05,103,103/08/18,305904.832,2770393.86,dismiss
圈入工作室,臺北市大安區忠孝東路4段205巷26弄3號,2e+05,103,103/08/07,305667.186,2770688.379,dismiss
欣遠餐廳,臺北市大安區忠孝東路4段223巷5號地下之1,2e+05,103,103/08/05,305789.601,2770517.642,dismiss
家巧服飾精品店,臺北市大安區忠孝東路4段216巷29號,2e+05,103,103/08/07,305809.157,2770300.072,dismiss
佳進飲食坊,臺北市大安區忠孝東路4段223巷10弄7號,2e+05,103,103/08/19,305858.401,2770555.812,dismiss
萬寶飲料店,臺北市大安區忠孝東路4段49巷8號,2e+05,103,103/09/15,305028.826,2770626.107,dismiss
凱密克企業社,臺北市大安區忠孝東路4段205巷29弄1號1樓,1e+05,103,103/09/16,305704.896,2770674.218,dismiss
彤之味輕食餐館,臺北市大安區忠孝東路4段208之1號,2e+05,103,103/09/15,305755.47,2770432.666,dismiss
金爵商行,臺北市大安區忠孝東路4段216巷40弄11號,50000,103,103/10/03,305715.887,2770271.138,dismiss
二零四六小吃店,臺北市大安區忠孝東路4段205巷24號,2e+05,103,103/10/09,305681.302,2770665.147,dismiss
嘉彤精品服飾店,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,103,103/11/24,305730.58,2770674.218,dismiss
理仁企業社,臺北市大安區忠孝東路4段95號,2e+05,103,103/11/24,305287.078,2770514.385,dismiss
食神的家飲食店,臺北市信義區忠孝東路4段553巷6弄2號1樓,80000,103,103/11/26,306800.601,2770572.199,dismiss
吳記水餃之家,臺北市大安區忠孝東路4段181巷46號1樓,10000,103,103/12/22,305565.738,2770792.191,dismiss
宸亞美髮沙龍企業社,臺北市大安區忠孝東路4段216巷11弄12號,2e+05,103,103/12/31,305857.088,2770398.373,dismiss
日耳曼小鎮餐坊,臺北市大安區忠孝東路4段170巷6弄16號,2e+05,103,103/12/18,305505.763,2770404.97,dismiss
夢想飲品坊,臺北市大安區忠孝東路4段170巷6弄1之1號,2e+05,103,103/12/01,305557.998,2770421.871,dismiss
上恩洋食館,臺北市大安區忠孝東路4段223巷34號1樓,2e+05,103,103/12/31,305810.98,2770662.308,dismiss
張家一品食坊,臺北市大安區忠孝東路4段216巷29號1樓,2e+05,104,104/01/09,305809.157,2770300.072,dismiss
賀雅金露西林服飾精品館,臺北市大安區忠孝東路4段223巷45號1樓,2e+05,104,104/01/16,305788.26,2770636.794,dismiss
寶婷企業社,臺北市大安區忠孝東路4段248巷27號,3e+05,104,104/01/30,305923.512,2770290.214,dismiss
安芹精品服飾小舖,臺北市大安區忠孝東路4段223巷56號,2e+05,104,104/01/23,305811.642,2770750.838,dismiss
心中有佛工作室,臺北市大安區忠孝東路4段310號1樓,2e+05,104,104/01/13,306212.971,2770449.821,dismiss
泰之味小館,臺北市大安區忠孝東路4段223巷10弄3號,2e+05,104,104/02/25,305832.648,2770560.869,dismiss
感恩服飾店,臺北市大安區忠孝東路4段216巷29號,80000,104,104/02/26,305809.157,2770300.072,dismiss
水芬子企業社,臺北市信義區忠孝東路4段553巷22弄6之1號,2e+05,104,104/03/02,306844.574,2770677.8,dismiss
美味關係餐坊,臺北市大安區忠孝東路4段223巷43號,2e+05,104,104/03/12,305788.184,2770622.299,dismiss
喜緣小吃店,臺北市信義區忠孝東路4段553巷14號1樓,1e+05,104,104/03/13,306794.074,2770619.462,dismiss
傑允精品店,臺北市大安區忠孝東路4段205巷14號(1樓),2e+05,104,104/04/01,305685.535,2770567.691,dismiss
奕成企業社,臺北市大安區忠孝東路4段248巷29號,50000,104,104/04/30,305942.077,2770268.228,dismiss
和星工作室,臺北市大安區忠孝東路4段181巷35弄9號及地下1樓,1e+05,104,104/04/10,305610.771,2770770.617,dismiss
水月花商行,臺北市大安區忠孝東路4段216巷40弄10號1樓,2e+05,104,104/05/28,305751.798,2770250.345,dismiss
給我咖啡店,臺北市信義區忠孝東路4段559巷14號,2e+05,104,104/05/13,306881.587,2770565.13,dismiss
開端服飾店,臺北市信義區忠孝東路4段553巷12號,150000,104,104/05/05,306793.942,2770609.558,dismiss
洛卡比洋行,臺北市大安區忠孝東路4段181巷40弄6號,2e+05,104,104/05/22,305544.09,2770751.574,dismiss
詩樺精品百貨,臺北市大安區忠孝東路4段216巷26號,248000,104,104/06/30,305787.315,2770334.574,dismiss
凱莉精品百貨,臺北市大安區忠孝東路4段216巷26號,248000,104,104/06/30,305787.315,2770334.574,dismiss
不思議國服飾店,臺北市大安區忠孝東路4段205巷29弄6號1樓,2e+05,104,104/06/05,305722.946,2770659.208,dismiss
時尚集商行,臺北市大安區忠孝東路4段216巷40弄11號,2e+05,104,104/06/09,305715.887,2770271.138,dismiss
黑布笠山商店,臺北市大安區忠孝東路4段223巷69號,2e+05,104,104/06/26,305781.457,2770738.629,dismiss
小林煎餅演藝工房,臺北市大安區忠孝東路4段50之2號,2e+05,104,104/06/30,304992.995,2770473.059,dismiss
誠中企業社,臺北市大安區忠孝東路4段49巷4弄16號地下樓,3e+05,104,104/06/04,305062.439,2770555.27,dismiss
黃金茶餐廳,臺北市大安區忠孝東路4段216巷19弄9號,1e+05,104,104/07/14,305853.807,2770370.457,dismiss
平和食品行,臺北市大安區忠孝東路4段223巷34弄2號,1e+05,104,104/07/02,305822.727,2770646.004,dismiss
拉維斯精品店,臺北市大安區忠孝東路4段181巷7弄21號,2e+05,104,104/07/01,305668.107,2770564.627,dismiss
曲大大韓國烤肉餐館,臺北市大安區忠孝東路4段181巷46號,2e+05,104,104/07/23,305565.738,2770792.191,dismiss
力瑪商行,臺北市大安區忠孝東路4段205巷15號1樓,160000,104,104/07/31,305700.688,2770585.163,dismiss
菲希企業社,臺北市大安區忠孝東路4段205巷29弄2號1樓,240000,104,104/08/04,305704.663,2770659.331,dismiss
努努可服飾店,臺北市大安區忠孝東路4段248巷6號,50000,104,104/08/18,305904.832,2770393.86,dismiss
九伊締時尚服飾專賣店,臺北市大安區忠孝東路4段181巷35弄2號,240000,104,104/09/23,305595.934,2770751.366,dismiss
麗茲城堡國際精品店,臺北市大安區忠孝東路4段55之11號1樓,2e+05,104,104/09/04,305051.061,2770531.032,dismiss
磐茶道商行,臺北市信義區忠孝東路4段559巷14號,240000,104,104/09/03,306881.587,2770565.13,dismiss
國韻企業社,臺北市大安區忠孝東路4段170巷18弄2號,2e+05,104,104/09/30,305550.642,2770297.031,dismiss
騰耀羿沃服飾店,臺北市大安區忠孝東路4段181巷35弄19號,2e+05,104,104/09/21,305644.736,2770770.399,dismiss
鳴鳳食品店,臺北市大安區忠孝東路4段223巷22號,60000,104,104/09/22,305810.042,2770610.512,dismiss
玫瑰公園服飾行,臺北市大安區忠孝東路4段87之12號,2e+05,104,104/09/16,305283.421,2770536.169,dismiss
漢娜餐坊,臺北市大安區忠孝東路4段216巷33弄14號,2e+05,104,104/09/21,305871.333,2770247.116,dismiss
玉香齋素食餅店,臺北市信義區忠孝東路4段553巷2弄1號,5e+06,104,104/09/17,306799.115,2770546.882,dismiss
明星寶號,臺北市大安區忠孝東路4段181巷40弄10號,2e+05,104,104/10/07,305527.305,2770752.159,dismiss
香杯可飲料店,臺北市大安區忠孝東路4段216巷57號,2e+05,104,104/10/26,305807.025,2770170.858,dismiss
媽咪里啦手製餅乾專賣店,臺北市大安區忠孝東路4段60之2號,5e+05,104,104/11/23,305026.511,2770456.137,dismiss
肯尼工作室,臺北市大安區忠孝東路4段248巷19號(1樓),1e+05,104,104/11/03,305919.197,2770320.058,dismiss
松山文創咖啡館,臺北市信義區忠孝東路4段553巷20之1號,245000,104,104/11/16,306798.716,2770670.095,dismiss
蘇馬利時尚創意概念店,臺北市大安區忠孝東路4段223巷49弄5號,50000,104,104/11/25,305758.965,2770664.876,dismiss
蔻妮絲精品服飾店,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,104,104/11/18,305730.58,2770674.218,dismiss
艾斯緹精品服飾店,臺北市大安區忠孝東路4段205巷9號,2e+05,104,104/11/30,305702.488,2770569.008,dismiss
采成服飾店,臺北市大安區忠孝東路4段205巷29弄2號1樓,1e+05,104,104/11/04,305704.663,2770659.331,dismiss
東北小吃店,臺北市信義區忠孝東路4段559巷16弄15號1樓,88000,104,104/11/10,306927.992,2770591.447,dismiss
克瑞格服飾店,臺北市大安區忠孝東路4段149號1樓,1e+06,104,104/12/04,305472.431,2770510.625,dismiss
依日小吃店,臺北市大安區忠孝東路4段181巷7弄5號,50000,104,104/12/24,305603.548,2770563.918,dismiss
亞緹義廚小吃店,臺北市信義區忠孝東路4段559巷32號,1e+06,104,104/12/14,306887.1,2770660.725,dismiss
香旭企業社,臺北市大安區忠孝東路4段181巷39號,2e+05,104,104/12/29,305586.248,2770792.768,dismiss
藍默餐坊,臺北市大安區忠孝東路4段170巷6弄1之1號,2e+05,104,104/12/09,305557.998,2770421.871,dismiss
艾達服飾名店,臺北市大安區忠孝東路4段87號,30000,104,104/12/28,305259.051,2770514.503,dismiss
